product_id,product_handle,product_title,product_url,size,outside_diameter,tread_width,inside_diameter,manufacturer_part_numbers,millennium_part_number,other_part_numbers,variant_id,variant_title,variant_sku,compound,tread_treatment,price,available
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285068255297,"HL3 / Cross Groove",TI069H3CG,HL3,"Cross Groove",161.52,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285623345217,"HL3 / Diamond Tread",TI069H3DT,HL3,"Diamond Tread",169.70,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285623410753,"HL3 / Sensor Siping",TI069H3SIP,HL3,"Sensor Siping",163.84,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42284998000705,"HL3 / Smooth",TI069H3,HL3,Smooth,153.39,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285623377985,"HL3 / Xtreme Diamond Tread",TI069H3XDT,HL3,"Xtreme Diamond Tread",177.64,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285068288065,"HL4 / Cross Groove",TI069H4CG,HL4,"Cross Groove",161.52,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285623443521,"HL4 / Diamond Tread",TI069H4DT,HL4,"Diamond Tread",169.70,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285623509057,"HL4 / Sensor Siping",TI069H4SIP,HL4,"Sensor Siping",163.84,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42284998066241,"HL4 / Smooth",TI069H4,HL4,Smooth,153.39,Y
7600167092289,tire-ti069,"Tire • 10 x 7 x 6.25 Smooth • TI069",https://dealer.millenniumelastomers.com/products/tire-ti069,"10 x 7 x 6 1/4 Smooth",10.0000,7.0000,6.2500,632-099,TI069,,42285623476289,"HL4 / Xtreme Diamond Tread",TI069H4XDT,HL4,"Xtreme Diamond Tread",177.64,Y
